기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2017,합계,합계,합계,경북,10678.683,144.5,0,11.6,0,0,361.6,18.5,0,1400,1410.749949,3.09,14028.722949
2017,합계,합계,합계,경남,0,7240,0,42.6,0,0,0,0.85,0,1300,574.158463,0.3,9157.908463000002
2017,합계,합계,합계,제주,0,0,0,350,0,105,0,251.19,0,0,408.77617300000003,0,1114.966173
2017,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,35.194999,0,565.635999
2017,합계,합계,합계,소계,22528.683,36097.802,600,3240.2999999999997,196.3,570.8,37636.397,339.47,0,4700,10976.378363,21.51,116907.64036299998
2016,합계,합계,합계,서울,0,0,0,0,314,0,0,0,0,0,93.565096,0,407.56509600000004
2016,합계,합계,합계,부산,5137,19,0,0,0,0,1800,0,0,0,127.792997,0,7083.792997
2016,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.7,0,0,0,55.892537000000004,0,542.9925370000001
2016,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,30.53,0,0,183.488249,0,13870.765249
2016,합계,합계,합계,광주,0,0,0,0,0,0,115.246,0,0,0,74.687833,0,189.933833
2016,합계,합계,합계,대전,0,0,0,88,48.3,0,0,0,0,0,15.963458000000001,0,152.263458
2016,합계,합계,합계,울산,1400,0,0,1200,0,0,2071.9,0,0,0,31.698166999999998,0,4703.598167
2016,합계,합계,합계,경기,0,76.955,0,1443.2,84,0,11516.417000000001,0.24,0,400,836.330512,0,14357.142511999999
2016,합계,합계,합계,강원,0,1022,725,0,0,0,848,0,0,1000,997.7145999999999,0,4592.7146
2016,합계,합계,합계,충북,0,0,0,61.4,0,0,0,0,0,0,722.649573,0,784.049573
2016,합계,합계,합계,충남,0,14910.2,400,0,0,465.8,2867.45,2.75,0,0,1772.573762,0,20418.773762
2016,합계,합계,합계,전북,0,851.769,0,0,0,0,718.4,6.58,0,600,889.706292,0,3066.4552919999996
2016,합계,합계,합계,전남,5900,1481.1,0,0,0,0,2378.9,19.01,0,0,1512.899871,0,11291.909871000002
2016,합계,합계,합계,경북,10678.683,144.5,0,11.6,0,0,361.6,18.5,0,1400,1092.375284,0,13707.258284
2016,합계,합계,합계,경남,0,7240,0,42.6,0,0,0,0.64,0,1300,466.185921,0,9049.425921
2016,합계,합계,합계,제주,0,0,0,350,0,105,0,251.19,0,0,380.358523,0,1086.5485230000002
2016,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,29.925998999999997,0,560.3669990000001
